"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Edaphobacter" NA
"Bacteria" "Planctomycetota" "Planctomycetes" "Gemmatales" "Gemmataceae" NA NA
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Rhizobacter" NA
"Bacteria" "Acidobacteriota" "Blastocatellia" "Pyrinomonadales" "Pyrinomonadaceae" "RB41" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" "Acidobacteriaceae (Subgroup 1)" "Occallatibacter" NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Corynebacteriales" "Mycobacteriaceae" "Mycobacterium" NA
"Bacteria" "Firmicutes" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" NA
"Bacteria" "Acidobacteriota" "Acidobacteriae" "Acidobacteriales" NA NA NA
"Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Mucilaginibacter" NA
"Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" NA NA NA
"Bacteria" "Actinobacteriota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" "Pseudonocardia" NA
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Mesorhizobium" NA
"Bacteria" "Myxococcota" "Polyangia" "Haliangiales" "Haliangiaceae" "Haliangium" NA
